# bot-logic i18n orphan keys (packages/bot-logic/src/i18n/locales/*.json)
# generated 2026-08-18 by track C; keys=621 live=343 dynamic=29 test-only=38 orphan=211
# 'orphan' = leaf key path never appears as a string literal in any non-test file under apps/discord-worker, apps/stoat-worker, packages/bot-logic, packages/svg,
#   and is not covered by any template/concat prefix found there. en value shown for context.

## ORPHAN
accessibility.simulatedAppearance	"Simulated Appearance"
swatch.errors.clanGenderRequired	"{typeName} requires {missing} to be specified.\n\nEither provide it as a parameter or set your defa
swatch.errors.colorNotFound	"Could not find the specified character color."
swatch.errors.gridOutOfRange	"Grid position ({row}, {col}) is out of range for {typeName}."
swatch.errors.invalidClan	"Invalid clan: `{clan}`\n\nValid clans:\n{clanList}"
swatch.errors.invalidColorType	"Invalid color type: `{type}`\n\nValid types: {validTypes}"
swatch.errors.invalidColumn	"Invalid column. Must be between {min} and {max}."
swatch.errors.invalidIndex	"Invalid index for {typeName}. Must be between {min} and {max}."
swatch.errors.invalidRow	"Invalid row for {typeName}. Must be between {min} and {max}."
swatch.errors.missingGridParams	"Parameters `type`, `row`, and `col` are all required."
swatch.errors.missingTypeAndIndex	"Both `type` and `index` are required."
swatch.footer	"Use /preferences set clan/gender to set defaults • /dye info {dyeName}"
swatch.gender	"Gender"
swatch.genders.female	"Female"
swatch.genders.male	"Male"
swatch.gridPosition	"Grid Position"
swatch.index	"Index"
swatch.matching	"Matching"
swatch.raceSpecific	"Race-specific color palette"
swatch.row	"Row"
swatch.sharedPalette	"Shared color palette (all races)"
swatch.title	"Character Color Match"
swatch.topMatches	"Top {count} Matches"

## TEST-ONLY (only *.test.ts reference the literal)
about.categories.userData	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.about	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.accessibility	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.collection	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.comparison	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.dyeInfo	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.dyeList	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.dyeRandom	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.dyeSearch	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.favorites	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.harmony	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.language	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.manual	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.match	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.matchImage	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.mixer	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.preset	apps/discord-worker/src/handlers/commands/about.test.ts
about.cmd.stats	apps/discord-worker/src/handlers/commands/about.test.ts
accessibility.comparing	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.contrastAnalysis	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.contrastTitle	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.description	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.deuteranopiaDesc	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.matrixDescription	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.protanopiaDesc	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.simulationMethod	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.title	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.tritanopiaDesc	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.wcagAAADesc	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.wcagAADesc	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.wcagFailDesc	apps/discord-worker/src/handlers/commands/accessibility.test.ts
accessibility.wcagGuidelines	apps/discord-worker/src/handlers/commands/accessibility.test.ts
comparison.fails	apps/discord-worker/src/handlers/commands/accessibility.test.ts
comparison.title	apps/discord-worker/src/handlers/commands/comparison.test.ts
dye.random.descriptionUnique	apps/discord-worker/src/handlers/commands/dye.test.ts
meta.locale	apps/discord-worker/src/services/bot-i18n.test.ts; packages/bot-logic/src/i18n/translator.test.ts
meta.name	apps/discord-worker/src/services/bot-i18n.test.ts; packages/bot-logic/src/i18n/translator.test.ts
preset.moderation.accessDenied	apps/discord-worker/src/handlers/commands/preset.test.ts

## DYNAMIC-PREFIX-COVERED (assumed live; verify enumerations)
accessibility.achromatopsia
accessibility.deuteranopia
accessibility.protanopia
accessibility.tritanopia
manual5.topics.characterFile.body
manual5.topics.characterFile.name
manual5.topics.colorVision.body
manual5.topics.colorVision.name
manual5.topics.contrast.body
manual5.topics.contrast.name
manual5.topics.matchingMethods.body
manual5.topics.matchingMethods.name
manual5.topics.spectrumPrices.body
manual5.topics.spectrumPrices.name
preferences.keys.blending
preferences.keys.clan
preferences.keys.count
preferences.keys.gender
preferences.keys.language
preferences.keys.market
preferences.keys.matching
preferences.keys.showAcquisition
preferences.keys.showDeltaE
preferences.keys.showHex
preferences.keys.showHsv
preferences.keys.showLab
preferences.keys.showRgb
preferences.keys.theme
preferences.keys.world
